utt,speaker,l1,lookahead_ms,chunk_ms,t_algorithmic_ms,n_frames,divergence_mean,divergence_p95,cka_to_bidirectional,div_silence,div_sonorant_steady,div_obstruent_or_transient
26,EBVS,Spanish,320,40.0,360.0,252,0.14166995882987976,0.29687434434890747,0.9244121243421479,0.13687746226787567,0.13843362033367157,0.14848890900611877
26,EBVS,Spanish,640,40.0,680.0,252,0.10710699111223221,0.20179025828838348,0.9515050640120195,0.12564429640769958,0.09222842752933502,0.11520804464817047
27,NCC,Chinese,0,40.0,40.0,200,0.48743999004364014,0.8021538257598877,0.7763203519464397,0.5547530055046082,0.4492289423942566,0.4914665222167969
27,NCC,Chinese,20,40.0,60.0,200,0.4101429283618927,0.748405933380127,0.8085664297846852,0.4741498827934265,0.3672359585762024,0.4203820526599884
27,NCC,Chinese,40,40.0,80.0,200,0.3748801350593567,0.7524240016937256,0.8149540751663319,0.42620569467544556,0.32205715775489807,0.401052862405777
27,NCC,Chinese,80,40.0,120.0,200,0.3292999565601349,0.7485971450805664,0.8533087537706877,0.37381234765052795,0.2870987057685852,0.3484778106212616
27,NCC,Chinese,160,40.0,200.0,200,0.240658238530159,0.5008288621902466,0.908091605696936,0.29733723402023315,0.22387287020683289,0.2290395349264145
27,NCC,Chinese,320,40.0,360.0,200,0.1711115688085556,0.37076565623283386,0.9378446364958987,0.25183725357055664,0.14772900938987732,0.15405228734016418
27,NCC,Chinese,640,40.0,680.0,200,0.11962459236383438,0.26589712500572205,0.9583044978410444,0.16818054020404816,0.10201294720172882,0.11282318085432053
28,RRBI,Hindi,0,40.0,40.0,279,0.5076347589492798,0.8055399060249329,0.7312504938375992,0.39637061953544617,0.5607507228851318,0.5087686777114868
28,RRBI,Hindi,20,40.0,60.0,279,0.43567442893981934,0.7112855315208435,0.7781459625428373,0.3659304082393646,0.4843948781490326,0.41995978355407715
28,RRBI,Hindi,40,40.0,80.0,279,0.3840736448764801,0.6817430257797241,0.8063137253138462,0.34852832555770874,0.41469863057136536,0.3698946535587311
28,RRBI,Hindi,80,40.0,120.0,279,0.3303631842136383,0.6804457902908325,0.831944101773883,0.32331058382987976,0.35126838088035583,0.31175991892814636
